entity;facility;own_facility;classification_fuel_rawmaterial;emissions_activites;detailed_desc;types_of_fuel;detailed_desc_fuel;date_collection;january;february;maret;april;may;june;july;augustus;september;october;november;december;fuel_usage;unit;fuel_consumption(Kg);energy_consumption(MJ);ghg_emissions(tCO2eq);kgCO2;kgCH4;kgN2O;updated_by;updated_date
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Generator;Fuel;Stationary combustion;;Gas / Diesel oil;SOLAR/DIESEL OIL;2024;1,275;0,5;2,9;2,625;0,5;0,5;0,625;0,5;0,925;2,4;1,25;0,625;14,625;㎥;12343,5;530770,5;39,46002667;39330,09405;1,5923115;0,3184623;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Boiler;Fuel;Stationary combustion;;Industrial Wastes;FABRIC WASTE FROM CUTTING;2024;66719,94065;56395,91523;53472,48177;39453,38855;64766,81694;76693,90558;101635,835;69754,50941;27000;32400;28350;41850;658492,7931;kg;658492,7931;14326706,17;2075,968377;2048718,982;429,8011851;57,30682468;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);AC;RawMaterial;Others;;Hydrofluorocarbons(HFCs);HFC-410A;2024;0;0;11,3;0;0;0;0;0;0;11,3;11,6;0;34,2;kg;34,2;0;77,1381;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);AC;RawMaterial;Others;;ETC;HCFC-22;2024;0;0;13,6;0;0;0;0;13,6;0;0;27,2;0;54,4;kg;54,4;0;106,624;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);AC;RawMaterial;Others;R11 for blasting/cleaning;ETC;CFC-11;2024;0;0;0;0;0;0;0;0;0;10;0;0;10;kg;10;0;62,3;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);AC;RawMaterial;Others;;Hydrofluorocarbons(HFCs);HFC-32;2024;;;;;;;;;;;;;10;kg;10;0;7,71;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;DIESEL OIL/SOLAR;2024;2,156;2,121;2,288;1,597;2,551;2,786;2,67;0,387;2,175;2,761;2,13;2,61;26,232;㎥;19437,912;861099,5016;59,88499262;59674,19546;2,583298505;0,516659701;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;PERTALITE (RONN 90);2024;18,73;19,48;21,71;14,62;18,34;19,95;17,49;3,14;19,73;18,2;20,26;20,75;212,4;㎥;157388,4;6972306,12;484,8876347;483180,8141;20,91691836;4,183383672;;
PT. HJL INDO NETWORKS;PT. HJL INDO NETWORKS;Vehicle;Fuel;Mobile combustion fuels and vehicle;manager-level operational vehicles;Automotive gasoline (petrol);RON 92 (called pertamax);2024;4,494897;4,160644;4,232885;4,441086;4,496507;3,889337;4,603984;5,506506;4,054728;3,230342;2,706658;2,544369;48,361943;㎥;35836,19976;1587543,65;110,4054056;110016,7749;4,762630949;0,95252619;;
PT.HOGA REKSA GARMENT;PT.HOGA REKSA GARMENT;Power Generator;Fuel;Stationary combustion;Convertion of Diesel Combusting to Electric Energy;Biodiesel;;2024;0,27;0,15;0,28;0,28;0,123;0,077;0,15;0,13;0,185;0;0,015;0,03;1,69;㎥;1428,05;38557,35;2,739299219;2729,86038;0,11567205;0,02313441;;
PT.HOGA REKSA GARMENT;PT.HOGA REKSA GARMENT;Vehicle;Fuel;Mobile combustion;Company Controlled Vehicle for Logistic Purpose;Biodiesel;;2024;5,809;3,113;5,57607;5,47612;2,6441;2,60796;1,81116;1,934138824;2,285826471;2,070272353;5,48147;3,12;41,92911765;㎥;35430,10441;956612,8191;67,96236641;67728,18759;2,869838457;0,573967691;;
PT.HOGA REKSA GARMENT;PT.HOGA REKSA GARMENT;Vehicle;Fuel;Mobile combustion;Company Controlled Vehicle for Business Purpose;Automotive gasoline (petrol);;2024;1,768585281;1,695030668;1,712377048;1,41288598;1,94541603;1,381559734;1,957949701;1,661712238;1,660099569;1,67437783;1,627910893;1,5;19,99790497;㎥;14818,44758;656457,228;45,65318663;45492,4859;1,969371684;0,393874337;;
